temperature,date
13.29,2025-01-05 00:47:47.209775+00:00
13.3,2025-01-05 00:50:08.419339+00:00
13.26,2025-01-05 00:51:49.358244+00:00
13.22,2025-01-05 01:04:24.638088+00:00
13.25,2025-01-05 01:05:25.288265+00:00
13.22,2025-01-05 01:08:26.745150+00:00
13.19,2025-01-05 01:10:37.898099+00:00
13.25,2025-01-05 01:17:51.032981+00:00
13.18,2025-01-05 01:25:44.430061+00:00
13.12,2025-01-05 01:32:17.763417+00:00
13.06,2025-01-05 02:05:51.313870+00:00
13.05,2025-01-05 02:23:58.812030+00:00
13.08,2025-01-05 02:25:59.872140+00:00
13.03,2025-01-05 02:45:58.574358+00:00
13.01,2025-01-05 02:56:33.051411+00:00
12.95,2025-01-05 03:24:44.579547+00:00
12.91,2025-01-05 03:37:20.279067+00:00
12.92,2025-01-05 03:49:45.518806+00:00
12.91,2025-01-05 04:08:13.115946+00:00
12.95,2025-01-05 04:18:17.398697+00:00
12.97,2025-01-05 05:03:56.538815+00:00
12.92,2025-01-05 05:12:20.137655+00:00
12.91,2025-01-05 06:04:51.839524+00:00
12.98,2025-01-05 06:56:53.347587+00:00
12.95,2025-01-05 07:56:48.130606+00:00
13.49,2025-01-05 08:44:58.128912+00:00
13.72,2025-01-05 08:52:11.289434+00:00
14.02,2025-01-05 08:58:44.557389+00:00
14.52,2025-01-05 09:09:49.165753+00:00
14.75,2025-01-05 09:16:11.904144+00:00
15.26,2025-01-05 09:25:45.835214+00:00
15.78,2025-01-05 09:37:10.453942+00:00
16.31,2025-01-05 09:44:53.609102+00:00
16.62,2025-01-05 09:52:26.712683+00:00
16.82,2025-01-05 09:54:58.372192+00:00
17.34,2025-01-05 10:05:12.398444+00:00
17.86,2025-01-05 10:16:36.825242+00:00
18.38,2025-01-05 10:30:11.906927+00:00
18.89,2025-01-05 10:46:48.015616+00:00
18.9,2025-01-05 10:48:18.796216+00:00
18.97,2025-01-05 11:02:44.521491+00:00
18.68,2025-01-05 11:34:15.698404+00:00
18.55,2025-01-05 11:40:38.174019+00:00
18.44,2025-01-05 11:44:50.387092+00:00
18.41,2025-01-05 11:51:12.918133+00:00
17.9,2025-01-05 12:18:22.799548+00:00
17.68,2025-01-05 12:32:28.107011+00:00
17.71,2025-01-05 12:32:48.490440+00:00
17.6,2025-01-05 12:35:59.947271+00:00
17.3,2025-01-05 12:58:08.792315+00:00
17.01,2025-01-05 13:22:27.889490+00:00
16.81,2025-01-05 13:32:11.728228+00:00
16.59,2025-01-05 13:51:59.678824+00:00
16.26,2025-01-05 14:27:22.979135+00:00
16.24,2025-01-05 14:29:13.916415+00:00
16.09,2025-01-05 14:48:21.702667+00:00
16.05,2025-01-05 14:55:24.571599+00:00
15.91,2025-01-05 15:11:20.725402+00:00
15.88,2025-01-05 15:20:14.309532+00:00
15.79,2025-01-05 15:28:57.810458+00:00
15.75,2025-01-05 15:38:22.020730+00:00
