state,date
on,2025-03-01 02:37:55.943495+00:00
off,2025-03-01 02:49:59.615284+00:00
on,2025-03-01 04:32:30.724979+00:00
off,2025-03-01 04:44:34.407267+00:00
on,2025-03-01 06:00:00.008799+00:00
off,2025-03-01 06:33:07.221894+00:00
on,2025-03-01 07:21:21.411146+00:00
off,2025-03-01 07:33:24.991180+00:00
on,2025-03-01 08:15:37.494492+00:00
off,2025-03-01 08:27:41.085651+00:00
on,2025-03-01 09:09:53.554536+00:00
off,2025-03-01 09:27:58.929961+00:00
on,2025-03-01 10:22:14.855016+00:00
off,2025-03-01 10:40:20.196192+00:00
on,2025-03-01 11:46:39.775490+00:00
off,2025-03-01 12:04:45.113581+00:00
on,2025-03-01 13:05:02.765741+00:00
off,2025-03-01 13:23:08.104253+00:00
on,2025-03-01 14:35:29.336064+00:00
off,2025-03-01 14:53:34.717154+00:00
on,2025-03-01 16:05:56.037797+00:00
off,2025-03-01 16:24:01.407781+00:00
on,2025-03-01 19:24:55.608601+00:00
off,2025-03-01 19:36:59.293183+00:00
on,2025-03-01 21:07:26.708080+00:00
off,2025-03-01 21:19:30.425361+00:00
on,2025-03-01 22:37:54.277993+00:00
off,2025-03-01 22:49:57.965062+00:00
on,2025-03-02 00:08:21.634686+00:00
off,2025-03-02 00:20:25.269242+00:00
on,2025-03-02 01:50:52.737010+00:00
off,2025-03-02 02:02:56.413774+00:00
on,2025-03-02 03:15:18.238971+00:00
off,2025-03-02 03:27:21.911445+00:00
on,2025-03-02 04:45:45.585638+00:00
off,2025-03-02 04:57:49.250133+00:00
on,2025-03-02 06:00:00.013967+00:00
off,2025-03-02 06:34:18.121755+00:00
on,2025-03-02 07:16:30.441216+00:00
off,2025-03-02 07:34:35.790755+00:00
on,2025-03-02 08:16:48.190865+00:00
off,2025-03-02 08:28:51.735325+00:00
on,2025-03-02 09:05:02.389417+00:00
off,2025-03-02 09:23:07.728401+00:00
on,2025-03-02 10:17:23.652654+00:00
off,2025-03-02 10:35:28.972718+00:00
on,2025-03-02 11:23:43.066457+00:00
off,2025-03-02 11:35:46.618490+00:00
on,2025-03-02 12:30:02.516042+00:00
off,2025-03-02 12:48:07.867405+00:00
on,2025-03-02 13:54:27.387656+00:00
off,2025-03-02 14:06:30.969789+00:00
on,2025-03-02 14:54:45.187452+00:00
off,2025-03-02 15:12:50.551199+00:00
on,2025-03-02 16:31:13.599740+00:00
off,2025-03-02 16:49:19.000706+00:00
on,2025-03-02 19:44:11.312574+00:00
off,2025-03-02 19:56:14.987839+00:00
on,2025-03-02 21:32:44.241839+00:00
off,2025-03-02 21:44:47.930668+00:00
on,2025-03-02 23:00:00.013856+00:00
off,2025-03-02 23:21:17.079673+00:00
on,2025-03-03 00:21:35.023995+00:00
off,2025-03-03 00:39:40.421727+00:00
on,2025-03-03 01:46:00.032576+00:00
off,2025-03-03 02:04:05.379708+00:00
on,2025-03-03 02:58:21.371544+00:00
off,2025-03-03 03:10:24.963648+00:00
on,2025-03-03 04:04:41.015926+00:00
off,2025-03-03 04:22:46.400005+00:00
on,2025-03-03 05:00:00.003241+00:00
off,2025-03-03 05:47:10.874329+00:00
on,2025-03-03 06:11:17.552877+00:00
off,2025-03-03 06:35:24.309030+00:00
on,2025-03-03 06:59:31.044314+00:00
off,2025-03-03 08:11:51.077317+00:00
on,2025-03-03 08:29:56.017982+00:00
off,2025-03-03 09:12:07.500583+00:00
on,2025-03-03 09:36:14.021283+00:00
