temperature,date
14.6,2025-02-18 22:39:04.807541+00:00
15.2,2025-02-18 22:45:06.537534+00:00
15,2025-02-18 22:51:08.283072+00:00
14.8,2025-02-18 22:57:10.054704+00:00
14.4,2025-02-18 23:03:11.816903+00:00
14.2,2025-02-18 23:09:13.595186+00:00
14,2025-02-18 23:15:15.370733+00:00
13.8,2025-02-18 23:21:17.097966+00:00
13.4,2025-02-18 23:27:18.936391+00:00
13.2,2025-02-18 23:33:20.728587+00:00
13,2025-02-18 23:39:22.523849+00:00
12.8,2025-02-18 23:51:26.129889+00:00
12.6,2025-02-18 23:57:27.937666+00:00
12.4,2025-02-19 00:03:29.725548+00:00
12.2,2025-02-19 00:09:31.530746+00:00
12,2025-02-19 00:21:35.153524+00:00
11.8,2025-02-19 00:33:38.790186+00:00
12.8,2025-02-19 00:45:17.416079+00:00
13.6,2025-02-19 00:51:19.233028+00:00
13.4,2025-02-19 00:57:20.992491+00:00
13.2,2025-02-19 01:03:22.723759+00:00
13,2025-02-19 01:09:24.564072+00:00
12.8,2025-02-19 01:15:26.366253+00:00
12.6,2025-02-19 01:21:28.153930+00:00
12.4,2025-02-19 01:33:31.715953+00:00
12.2,2025-02-19 01:39:33.581741+00:00
12,2025-02-19 01:45:35.396875+00:00
11.8,2025-02-19 01:57:39.060359+00:00
12.8,2025-02-19 02:08:58.503787+00:00
13.6,2025-02-19 02:15:00.296311+00:00
13.4,2025-02-19 02:21:02.086561+00:00
13.2,2025-02-19 02:27:03.887761+00:00
13,2025-02-19 02:33:05.691210+00:00
12.8,2025-02-19 02:39:07.447208+00:00
12.6,2025-02-19 02:45:09.314510+00:00
12.4,2025-02-19 02:51:11.139374+00:00
12.2,2025-02-19 02:57:12.970233+00:00
12,2025-02-19 03:03:14.798032+00:00
11.8,2025-02-19 03:09:16.642740+00:00
12,2025-02-19 03:15:18.487852+00:00
12.8,2025-02-19 03:21:20.309180+00:00
13.4,2025-02-19 03:27:22.113209+00:00
13.2,2025-02-19 03:39:25.709297+00:00
13,2025-02-19 03:45:27.527304+00:00
12.8,2025-02-19 03:51:29.345425+00:00
12.6,2025-02-19 03:57:31.160793+00:00
12.4,2025-02-19 04:03:32.982777+00:00
12.2,2025-02-19 04:09:34.812225+00:00
12,2025-02-19 04:15:36.639809+00:00
11.8,2025-02-19 04:27:40.323112+00:00
12.6,2025-02-19 04:39:43.993161+00:00
13.4,2025-02-19 04:45:45.784640+00:00
13.2,2025-02-19 04:57:49.378213+00:00
12.8,2025-02-19 05:03:51.187320+00:00
12.6,2025-02-19 05:09:53.000666+00:00
12.4,2025-02-19 05:15:54.808196+00:00
12.2,2025-02-19 05:21:56.634670+00:00
12,2025-02-19 05:27:58.470799+00:00
11.8,2025-02-19 05:40:02.106786+00:00
12.8,2025-02-19 05:51:21.430467+00:00
13.6,2025-02-19 05:57:23.207576+00:00
14.2,2025-02-19 06:09:26.760794+00:00
14.6,2025-02-19 06:15:28.513324+00:00
14.4,2025-02-19 06:21:30.257533+00:00
14,2025-02-19 06:27:32.019806+00:00
13.6,2025-02-19 06:33:33.791876+00:00
14.6,2025-02-19 06:45:10.453514+00:00
15,2025-02-19 06:51:12.218407+00:00
14.6,2025-02-19 06:57:13.908355+00:00
14.2,2025-02-19 07:03:15.727059+00:00
14,2025-02-19 07:09:17.459110+00:00
13.6,2025-02-19 07:15:19.286968+00:00
14.6,2025-02-19 07:26:50.684520+00:00
15,2025-02-19 07:32:52.429339+00:00
14.8,2025-02-19 07:38:54.172589+00:00
14.4,2025-02-19 07:44:55.934290+00:00
14,2025-02-19 07:50:57.636312+00:00
13.8,2025-02-19 07:56:59.452895+00:00
14.6,2025-02-19 08:09:03.002442+00:00
15.2,2025-02-19 08:15:04.746959+00:00
15,2025-02-19 08:21:06.474660+00:00
14.6,2025-02-19 08:27:08.237247+00:00
14.2,2025-02-19 08:33:10.019287+00:00
14,2025-02-19 08:39:11.805006+00:00
13.6,2025-02-19 08:45:13.596355+00:00
14.6,2025-02-19 08:56:40.806122+00:00
15,2025-02-19 09:02:42.555880+00:00
14.8,2025-02-19 09:08:44.316759+00:00
14.4,2025-02-19 09:14:46.081645+00:00
14.2,2025-02-19 09:20:47.849787+00:00
14,2025-02-19 09:26:49.630187+00:00
13.8,2025-02-19 09:32:51.411557+00:00
13.6,2025-02-19 09:38:53.196043+00:00
14.6,2025-02-19 09:44:10.239230+00:00
15.2,2025-02-19 09:50:11.979887+00:00
15,2025-02-19 09:56:13.677650+00:00
14.6,2025-02-19 10:02:15.475438+00:00
14.2,2025-02-19 10:08:17.238899+00:00
14,2025-02-19 10:14:19.023971+00:00
13.8,2025-02-19 10:20:20.805917+00:00
13.6,2025-02-19 10:26:22.539463+00:00
14.6,2025-02-19 10:31:34.534305+00:00
15.2,2025-02-19 10:37:36.270159+00:00
15,2025-02-19 10:43:38.067033+00:00
14.6,2025-02-19 10:49:39.819005+00:00
14.2,2025-02-19 10:55:41.578395+00:00
14,2025-02-19 11:01:43.310151+00:00
13.8,2025-02-19 11:07:45.132312+00:00
14.6,2025-02-19 11:19:48.723056+00:00
15.2,2025-02-19 11:25:50.424802+00:00
15,2025-02-19 11:31:52.124712+00:00
14.8,2025-02-19 11:37:53.930375+00:00
14.4,2025-02-19 11:43:55.699569+00:00
14.2,2025-02-19 11:49:57.469928+00:00
14,2025-02-19 11:55:59.237929+00:00
13.8,2025-02-19 12:02:00.961471+00:00
14.6,2025-02-19 12:14:04.492938+00:00
15.2,2025-02-19 12:20:06.261311+00:00
15,2025-02-19 12:26:07.995585+00:00
14.8,2025-02-19 12:32:09.697412+00:00
14.4,2025-02-19 12:38:11.468965+00:00
14.2,2025-02-19 12:50:15.062631+00:00
14,2025-02-19 12:56:16.837815+00:00
13.8,2025-02-19 13:02:18.611039+00:00
13.6,2025-02-19 13:08:20.431357+00:00
14.6,2025-02-19 13:14:17.365072+00:00
15.2,2025-02-19 13:20:19.096837+00:00
15,2025-02-19 13:26:20.837162+00:00
